step,loss
10,3.304616
20,1.884929
30,1.061262
40,0.490499
50,0.347946
60,0.310215
70,0.294944
80,0.285411
90,0.274786
100,0.286415
110,0.296194
120,0.288133
130,0.269106
140,0.281399
150,0.280442
160,0.270459
170,0.266145
180,0.263177
190,0.247834
200,0.261301
210,0.257911
220,0.270670
230,0.273677
240,0.256947
250,0.268557
260,0.267985
270,0.259513
280,0.259778
290,0.257810
300,0.281566
310,0.259612
320,0.263610
330,0.252929
340,0.263784
350,0.249411
360,0.284073
370,0.258386
380,0.257266
390,0.242232
400,0.278116
410,0.246010
420,0.242054
430,0.233539
440,0.230490
450,0.244783
460,0.249858
470,0.235654
480,0.260961
490,0.260160
500,0.252505
510,0.248528
520,0.267147
530,0.252613
540,0.238593
550,0.255096
560,0.239454
570,0.254447
580,0.253482
590,0.251021
600,0.254321
610,0.239854
